shame_id,author_and_title,original_id,author,author_fname,author_lname,author_gender,title,word_count,publ_year,publ_year_clean,doc_link,source_corpus,comment
SHAME_1,Albin Prepeluh-Mina,KDSP199,Albin Prepeluh,Albin,Prepeluh,M,Mina,33063,1910.0,1910.0,https://github.com/COST-ELTeC/ELTeC-slv/blob/v0.7.1/level1/SLV10022.xml,KDSP,
SHAME_2,Alojz Kraigher-Kontrolor Škrobar,KDSP234,Alojz Kraigher,Alojz,Kraigher,M,Kontrolor Škrobar,130090,1914.0,1914.0,https://www.dlib.si/details/URN:NBN:SI:DOC-KCBULTUI,KDSP,
SHAME_3,Alojz Kraigher-Mlada ljubezen,KDSP254,Alojz Kraigher,Alojz,Kraigher,M,Mlada ljubezen,75260,1917.0,1917.0,https://github.com/COST-ELTeC/ELTeC-slv/blob/v0.7.1/level1/SLV00355.xml,KDSP,
SHAME_4,Alojz Kraigher-Peter Drozeg,,Alojz Kraigher,Alojz,Kraigher,M,Peter Drozeg,20324,1916.0,1916.0,https://lit.ijs.si/kraigher.html ,Wikivir - leposlovje,
SHAME_5,Alojzij Kokalj-Cerkvene miši,KDSP227,Alojzij Kokalj,Alojzij,Kokalj,M,Cerkvene miši,86058,1913.0,1913.0,https://sl.wikisource.org/wiki/Cerkvene_mi%C5%A1i,KDSP,
SHAME_6,Alojzij Remec-Veliki punt,KDSP185,Alojzij Remec,Alojzij,Remec,M,Veliki punt,53214,1909.0,1909.0,https://www.dlib.si/details/URN:NBN:SI:DOC-WAIJ1NXL,KDSP,
SHAME_7,Andrej Budal-Križev pot Petra Kupljenika,KDSP202,Andrej Budal,Andrej,Budal,M,Križev pot Petra Kupljenika,23110,1911.0,1911.0,https://sl.wikisource.org/wiki/Kri%C5%BEev_pot_Petra_Kupljenika,KDSP,
SHAME_8,Anton Bartel-Pomladanski vetrovi,KDSP036,Anton Bartel,Anton,Bartel,M,Pomladanski vetrovi,65161,1881.0,1881.0,https://github.com/COST-ELTeC/ELTeC-slv/blob/v0.7.1/level1/SLV00094.xml,KDSP,
SHAME_9,Anton Funtek-Iz spominov mlade žene,KDSP056,Anton Funtek,Anton,Funtek,M,Iz spominov mlade žene,37987,1887.0,1887.0,https://sl.wikisource.org/wiki/Iz_spominov_mlade_%C5%BEene,KDSP,
SHAME_10,Anton Koder-Kmetski triumvirat,KDSP045,Anton Koder,Anton,Koder,M,Kmetski triumvirat,43146,1884.0,1884.0,https://github.com/COST-ELTeC/ELTeC-slv/blob/v0.7.1/level1/SLV10012.xml,KDSP,
SHAME_11,Anton Koder-Luteranci,KDSP043,Anton Koder,Anton,Koder,M,Luteranci,42394,1883.0,1883.0,https://github.com/COST-ELTeC/ELTeC-slv/blob/v0.7.1/level1/SLV00098.xml,KDSP,
SHAME_12,Anton Koder-Marjetica,KDSP029,Anton Koder,Anton,Koder,M,Marjetica,61910,1877.0,1877.0,https://github.com/COST-ELTeC/ELTeC-slv/blob/v0.7.1/level1/SLV00099.xml,KDSP,
SHAME_13,Anton Koder-Na naših gorah,KDSP030,Anton Koder,Anton,Koder,M,Na naših gorah,23300,1877.0,1877.0,https://sl.wikisource.org/wiki/Na_na%C5%A1ih_gorah,KDSP,
SHAME_14,Anton Koder-V gorskem zakotji,KDSP042,Anton Koder,Anton,Koder,M,V gorskem zakotji,23002,1883.0,1883.0,https://sl.wikisource.org/wiki/V_gorskem_zakotji,KDSP,
SHAME_15,Anton Koder-Zvezdana,KDSP041,Anton Koder,Anton,Koder,M,Zvezdana,31038,1883.0,1883.0,https://github.com/COST-ELTeC/ELTeC-slv/blob/v0.7.1/level1/SLV00103.xml,KDSP,
